frame_number,frame_time,frame_len,eth_src,eth_dst,eth_type,ip_version,ip_src,ip_dst,ip_hl,ip_len,ip_proto,ip_ttl,tcp_srcport,tcp_dstport,tcp_seq,tcp_ack,tcp_len,tcp_flags
20,"Feb  9, 2024 16:19:35.367231000 Central Standard Time",869,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,855,6,64,40142,443,644,3475,803,0x0018
21,"Feb  9, 2024 16:19:35.395188000 Central Standard Time",281,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,267,6,244,443,40142,3475,1447,215,0x0018
22,"Feb  9, 2024 16:19:35.467701000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40142,443,1447,3690,0,0x0010
23,"Feb  9, 2024 16:19:35.658474000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,44.209.20.155,20,83,6,64,45299,443,1,1,31,0x0018
24,"Feb  9, 2024 16:19:35.658660000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,44.209.20.155,20,52,6,64,45299,443,32,1,0,0x0014
25,"Feb  9, 2024 16:19:35.744674000 Central Standard Time",74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,60,6,64,38900,9999,0,0,0,0x0002
26,"Feb  9, 2024 16:19:35.745180000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,44.209.20.155,20,83,6,64,45295,443,1,1,31,0x0018
27,"Feb  9, 2024 16:19:35.745691000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,44.209.20.155,20,52,6,64,45295,443,32,1,0,0x0014
28,"Feb  9, 2024 16:19:36.740449000 Central Standard Time",591,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,577,6,64,43148,443,1,1,525,0x0018
29,"Feb  9, 2024 16:19:36.740754000 Central Standard Time",589,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,575,6,64,38987,443,1,1,523,0x0018
30,"Feb  9, 2024 16:19:36.740838000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,83,6,64,38987,443,524,1,31,0x0019
31,"Feb  9, 2024 16:19:36.741134000 Central Standard Time",589,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,575,6,64,38993,443,1,1,523,0x0018
32,"Feb  9, 2024 16:19:36.741215000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,83,6,64,43148,443,526,1,31,0x0019
33,"Feb  9, 2024 16:19:36.741384000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,83,6,64,38993,443,524,1,31,0x0019
34,"Feb  9, 2024 16:19:36.741888000 Central Standard Time",591,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,577,6,64,38995,443,1,1,525,0x0018
35,"Feb  9, 2024 16:19:36.741970000 Central Standard Time",589,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,575,6,64,43192,443,1,1,523,0x0018
36,"Feb  9, 2024 16:19:36.742070000 Central Standard Time",543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x0800,4,10.0.5.220,255.255.255.255,20,529,17,64,,,,,,
37,"Feb  9, 2024 16:19:36.742143000 Central Standard Time",189,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x0800,4,10.0.5.220,255.255.255.255,20,175,17,64,,,,,,
38,"Feb  9, 2024 16:19:36.742180000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,83,6,64,39974,443,1,1,31,0x0018
39,"Feb  9, 2024 16:19:36.742251000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,39974,443,32,1,0,0x0011
40,"Feb  9, 2024 16:19:36.742506000 Central Standard Time",95,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,10.0.5.1,20,81,17,64,,,,,,
41,"Feb  9, 2024 16:19:36.742569000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,83,6,64,38995,443,526,1,31,0x0019
42,"Feb  9, 2024 16:19:36.742628000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,60,6,64,40144,443,0,0,0,0x0002
43,"Feb  9, 2024 16:19:36.745887000 Central Standard Time",143,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,10.0.5.1,10.0.5.220,20,129,17,64,,,,,,
44,"Feb  9, 2024 16:19:36.752179000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,83,6,64,43192,443,524,1,31,0x0019
